"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"1",1.91562628750998e-05,6.92305163179081e-06,1.99767388106913e-05,6.42303451561644e-05,0.000124876818731656,2.05797381055325e-05,1.20172647841416e-06,1.02943317883657e-06,4.54940387562579e-05,2.21549506647966e-06,9.70017339948573e-06,4.78851204613278e-06,2.28512883644109e-05,1.22477834780788e-06,3.92714128534585e-05,6.85590793502591e-06,1.39205980448908e-06,0.00015321433783314,7.6178817623837e-06,1.05389742367212e-05,2.82333227533472e-06,3.82386312002603e-05,4.75576338777221e-05,2.50677448700786e-06,8.62091413027463e-06,2.11709316226492e-05,8.5883637053074e-07,4.67342176292612e-07,1.70885971168329e-05,9.13559694708107e-06,0.000105813964141598,1.92885461518066e-06,6.18950635123565e-06,2.91183394204025e-05,2.21572435193196e-06,5.29928763188808e-06,9.04339312999069e-06,7.19074882988632e-06,2.52524118346672e-06,1.13786511699851e-05,3.615766489536e-05,2.90471778812546e-05,8.3303205302461e-06,1.21328297335406e-06,1.02117799325925e-05,2.32663486564952e-05,6.08888845328843e-06,3.65978294306992e-07
"2",3.93522548514158e-06,6.19070602832674e-07,1.95775192340196e-05,4.4949618496626e-05,0.000317260297908928,1.13414781587581e-05,6.02404610863694e-07,1.09715452584035e-06,3.97116641991487e-05,2.01185116850294e-06,1.33427363574884e-05,1.14700949296027e-05,2.34492167482207e-05,1.17356362253248e-06,0.000106955966026895,2.71243178488622e-05,4.23086794873925e-06,0.000163939313457646,1.83026230183661e-05,3.00692190659463e-05,5.04160670801289e-06,3.35818283272741e-05,6.26672774541515e-05,1.39610232099128e-06,2.50970448240629e-05,1.83276489954048e-05,8.84149426502893e-07,6.09346314366535e-07,1.25001333688372e-05,1.17163730036762e-05,0.000106802153905011,3.91651567290923e-06,2.49944227112337e-06,3.53088163411711e-05,3.13067446920386e-06,9.66639713488522e-06,5.30647287121377e-06,1.09859274755257e-05,9.67477130103701e-06,9.57642443516401e-06,0.000105871683341063,3.50960129350807e-05,1.18766020828547e-05,1.77248282580407e-06,2.22201997980254e-05,3.71923847584201e-05,9.00145856160415e-06,1.53043469110038e-06
"3",3.08275524489497e-06,6.35884975303675e-06,2.59982148870907e-05,2.51494743812549e-05,0.0003671210843577,9.0835507312519e-06,1.28002311035791e-05,1.88220485608636e-06,1.49298512677002e-05,7.4113699030577e-06,8.04715468693582e-06,6.35606063641471e-06,1.05968131386685e-05,6.56733856683517e-06,1.97759374566289e-05,9.56324731736339e-05,3.795498104416e-06,3.92479943227843e-05,2.5512066266498e-05,3.06033630685766e-05,4.89893877600627e-06,2.19737439863163e-05,5.14546076606565e-05,3.72190764903351e-06,0.000103789177281186,4.37954791866523e-05,3.38094648271176e-06,9.15890622092766e-07,1.2902169382872e-06,6.78445917446454e-06,6.35008897186406e-05,4.08339045323552e-06,1.89015776797306e-06,6.19583786292857e-05,3.8189895540693e-06,1.63818384969272e-05,9.44374689107249e-06,6.38467584215598e-06,4.81858563485796e-06,5.39786705819083e-06,2.4094647727463e-05,5.87549627472711e-05,4.75570259691848e-06,2.0846352532369e-06,3.42311615324299e-05,3.94202412548732e-05,2.26429968191897e-05,2.02588319582587e-06
"4",2.21339766661364e-05,4.34398879927563e-06,1.30428110455612e-05,0.000113754557529665,0.000555336793580233,5.67071668620602e-05,1.41010403408091e-06,2.91977141875191e-06,0.000138289689929417,1.7253694085816e-06,2.97892796218759e-05,9.36617771878787e-06,4.626272485128e-05,1.1822799988358e-06,4.54788426065308e-05,8.73461756879851e-05,3.36016043424521e-06,0.000231687666766281,1.79582581744865e-05,2.15378846442117e-05,5.56836438730619e-06,7.93682236534503e-05,9.22835749414452e-05,3.30961417412662e-06,0.000106587106711878,1.74712407150104e-05,4.20434446444299e-07,6.45684938547993e-07,7.35139182202683e-06,1.49468168204541e-05,0.000186674781409247,5.07147796718616e-06,2.7348146496454e-06,3.29350577560869e-05,6.20343688639509e-06,1.38884389565044e-05,4.43607322521e-06,1.19535327870521e-05,8.58874718671981e-06,1.51638673625139e-05,4.74367375052186e-05,3.55584321516171e-05,1.25719312940351e-05,2.37104402342156e-06,5.05820018612374e-05,6.57108727673786e-05,7.79683211923981e-06,1.30313736393363e-06
"5",1.92956831119348e-05,4.31603255834246e-05,7.2707083819646e-05,3.92090336327757e-05,0.000135821369664934,1.44480177048109e-05,1.12230872087083e-05,6.85620641361329e-06,0.000121917516029866,2.9669409703736e-06,1.35668616123716e-05,3.99291920918324e-05,1.20439902414001e-05,5.22380339319226e-06,2.49514287311588e-05,4.57785706451626e-05,4.95655467814796e-06,0.000231002292731908,4.45288858519152e-05,1.76380441864696e-05,1.11109941535732e-05,3.95581943866422e-05,5.45479377063577e-05,5.27552840676328e-06,5.26537011139161e-05,0.000103971709151885,5.81955484335398e-06,2.40177106786117e-06,2.298806132913e-05,1.43829866980706e-05,0.000504480231592229,1.0233264493056e-05,5.74618499058998e-06,8.97132591836357e-05,7.17712558911067e-06,2.71085151255149e-05,1.2915702974412e-05,1.94881601378338e-05,1.06519713795643e-05,2.32724291988363e-05,2.05268876136356e-05,9.99091632426927e-05,1.21650188250979e-05,6.32993763679227e-06,3.66217761253403e-05,6.24235114059612e-05,1.41746864257467e-05,8.45828771031337e-06
"6",3.33296202024723e-05,2.93409668590905e-06,4.30429229198004e-05,6.73827591117525e-05,0.000410218242312783,1.65775427782461e-05,6.06016870858114e-07,1.17068957753599e-06,3.89477802211217e-05,1.54876778141294e-06,1.88499026682614e-05,3.17309768077801e-06,3.16511981918995e-05,2.53415458557733e-06,0.000144506319479696,1.00387226749617e-05,6.62286168588271e-06,0.000132398619045554,1.18747871384156e-05,2.32008817817757e-05,1.16404179748536e-05,5.6558328444491e-05,4.7147231831888e-05,2.40166074715299e-06,2.52939164240295e-05,3.94673291888453e-05,8.7143049645303e-07,3.01808600481782e-07,1.1198833684993e-05,6.66904711999292e-06,6.41762333848056e-05,3.53634564328562e-06,1.44706447671368e-06,3.19484164885488e-05,1.94524846242554e-06,1.21734378035613e-05,2.96414304403801e-06,1.30195463830705e-05,8.9185193624266e-06,9.68872630521805e-06,0.00015040019371231,3.78753048050991e-05,2.17467988253914e-05,2.78993656704302e-06,1.78828107428447e-05,5.59366311770705e-05,4.6046380991345e-06,4.50882535541312e-07
"7",1.16933898658436e-05,3.39562737154978e-05,3.9803808089766e-05,6.42004876467688e-05,0.000228212726256162,6.78569346895543e-05,2.89906128023169e-06,5.52756603770449e-06,5.67628873989615e-05,6.18836269689025e-06,1.36467321205241e-05,9.3542675969167e-06,4.17533860818477e-05,8.09782053181325e-06,3.62300428093563e-05,1.57888771690325e-05,7.0147501554449e-06,0.000151680362358972,2.61478117214509e-05,1.74548313050229e-05,7.69002803019044e-06,8.76751035824262e-05,7.6988453241041e-05,3.26424930313692e-06,2.64532239902691e-05,4.1415022000795e-05,1.89852006411674e-07,2.38332979488699e-06,8.46008338846915e-06,2.06105973313672e-05,0.000125794280264867,9.60602353006331e-06,1.35162763357649e-05,9.53808843781321e-05,1.129491498897e-05,3.08870937792654e-05,8.84313017927653e-06,2.66244017126988e-05,1.39917153558701e-05,4.8375620358396e-05,4.27476321245414e-05,9.73687215035502e-05,2.75106100881859e-05,6.3512296058701e-06,3.73007233369421e-05,3.15954767091981e-05,1.51433565044162e-05,1.75838477183141e-06
"8",1.19641094332928e-05,1.20443114254161e-05,5.71363083337828e-05,7.39726798285422e-05,0.000325344485352697,6.74646616564469e-06,1.37806141817848e-05,2.68119326303158e-06,0.00022270116485462,5.7097220832192e-06,2.18494441375781e-05,1.09304765209719e-05,1.4040547761647e-05,5.1692463263871e-06,8.36880461958783e-05,4.6838041380953e-05,4.90519202351194e-06,0.000188349708061882,2.44121624125462e-05,3.15297777055679e-05,8.87786803356293e-06,5.04249608058474e-05,4.74489252720789e-05,9.1967120293252e-06,5.18201498402205e-05,8.1125261737337e-05,8.62082556149127e-06,2.02558092607451e-06,1.37939619194594e-05,2.34417313797237e-05,0.000296041434315394,8.96490716901867e-06,5.36490779223367e-06,9.30698333209618e-05,8.99795183352265e-06,1.70983865502912e-05,1.21038326515023e-05,1.98582740897492e-05,1.13294053172525e-05,1.48069793072813e-05,8.08497048574299e-05,0.000107108253262162,2.09581776760744e-05,5.48596020451094e-06,2.39133001308626e-05,0.000260351618839745,1.48502134380152e-05,6.77609966179038e-06
"9",2.3409918838248e-05,2.76808136924688e-05,7.94906145133209e-05,2.01718583753876e-05,0.000578388821729982,1.66872408350313e-05,1.18061809078543e-05,2.31611795590675e-06,6.15819347615519e-05,3.73355369795413e-06,3.46778900062413e-05,3.22070788444477e-05,2.80299275001432e-05,4.54916825029455e-06,3.84102712685472e-05,5.48146625920722e-05,2.67507982191366e-06,0.000230502157608272,3.26463469356992e-05,1.28778505251941e-05,6.02857236150991e-06,4.62497947592829e-05,3.42251859052031e-05,3.96748502440229e-06,5.66646099626739e-05,0.000151512974350451,2.03038211467062e-06,1.31213543255815e-06,5.49086416794823e-06,4.69385609411542e-05,0.000184304440216362,5.02856293882806e-06,3.50302915907493e-06,0.000110037869252628,7.48432170253082e-06,9.74858538231592e-06,9.92302075587221e-06,1.68907522763068e-05,1.06847861568446e-05,1.38771526282849e-05,3.88067888708493e-05,0.000119146195493932,1.61258821936982e-05,1.10966956808691e-05,3.69107441327945e-05,3.05046434833296e-05,1.93349961908607e-05,1.67017039784593e-05
"10",2.19476567843952e-06,1.30619007258789e-06,2.32831276800614e-05,0.000193567665770831,0.000947105137941895,2.08505474752824e-06,4.48179432050493e-05,1.37024806643916e-06,5.91517164576544e-06,1.47205554227828e-05,1.01537279012101e-05,1.10691882484067e-05,9.21685440959694e-06,5.50502517750425e-06,9.90440349273026e-07,0.00012816870779941,1.83868884153822e-06,0.000226187592120082,3.00327097764046e-05,1.9615497012994e-05,2.09974354216347e-06,5.57795781905664e-06,9.44864458969705e-05,6.44267786184649e-06,0.000131671537865077,3.98853270797141e-05,2.38869197909381e-06,3.3854241105896e-07,8.17501910682028e-07,4.73480647550914e-06,0.000194725074139009,1.14754976399136e-06,4.80942446479602e-07,3.17278807999651e-05,5.8300816851036e-07,7.21861032123792e-06,2.45551768573818e-06,2.32558085921351e-06,1.73982257128578e-06,1.71448084310133e-06,3.48171235232589e-06,3.66024924020154e-05,1.16501485908873e-06,1.868246288993e-06,9.12843867856173e-05,9.77635408393574e-06,1.22308307526403e-05,2.07714060654955e-06
"11",5.83377166877391e-05,2.27844203637545e-06,6.21982289751022e-05,4.59024619834428e-05,0.00043524999358881,4.88579166032062e-05,1.18545058243913e-06,2.49128013109281e-06,2.23831357868039e-05,1.07029829904818e-06,2.87119965316745e-05,2.95977908091451e-06,2.83961662496548e-05,1.55637655111466e-06,9.51968870329409e-05,7.05434133521438e-06,2.10182672359311e-06,9.90650643550682e-05,2.12951519926921e-05,1.24676527312518e-05,5.93895182861682e-06,8.54259838151634e-05,7.84638302427808e-05,2.88705889522807e-06,8.08093483982239e-06,6.1868886064265e-05,6.62649975355782e-07,4.92767975048322e-07,1.93656598192027e-05,5.13381782835379e-06,5.2359756443038e-05,3.07391970063924e-06,1.70715486073193e-06,3.8420417044864e-05,2.97632919442577e-06,1.49680446648637e-05,1.01799658123086e-05,9.11536811878995e-06,7.32511469453537e-06,1.54622388665025e-05,0.000110154546114309,4.33284507825823e-05,1.47054242258438e-05,1.80662337525131e-06,5.75443043328227e-05,6.79372311475493e-05,2.6062128302627e-06,5.52703769559799e-07
"12",6.89665735125136e-05,6.10881311879169e-06,6.15548404049555e-05,5.81601309630235e-05,0.000658342872437495,5.86765569669739e-05,2.16488101690402e-06,2.4390248870306e-06,1.80142152156404e-05,3.72869917368506e-06,1.20402346621157e-05,4.94819303535793e-05,2.48401426055116e-05,2.79166210782623e-06,7.16284083323455e-10,2.40474083493092e-05,3.54779653323148e-06,0.000118323869346523,5.67615290304095e-05,2.42817389858656e-05,5.16199176580833e-06,0.000100863150026888,8.18511488302871e-05,7.34660593723446e-06,2.63758912932884e-05,6.18490347149528e-05,7.77698731106258e-07,1.65668067339906e-06,1.09210993214741e-05,1.61492985251618e-05,5.33059635103312e-05,9.12342387293004e-06,4.35386819477916e-06,0.000109914682421164,1.23217359260908e-05,2.27953804170964e-05,1.68100388076273e-05,8.6762226431837e-06,1.35391746669018e-05,2.31038646017837e-05,5.86117924531506e-05,0.000111214122233863,2.83264633505409e-05,3.74465483688742e-06,7.4564255478566e-05,6.78309141469774e-05,9.90226545658212e-06,2.52991946384323e-06
"13",1.034694084718e-05,2.39060624037987e-06,1.63409172072641e-05,3.73204515929282e-05,0.000617302309528744,3.1547818052384e-05,4.56995703145948e-07,1.6533131767711e-06,3.32838506440794e-05,2.37296760805977e-06,1.0334994998771e-05,6.52755850980597e-06,2.63618503411632e-05,1.26139909385781e-06,6.16601782653851e-05,1.04693005234814e-05,4.52285867586876e-06,5.71263750977112e-05,2.00865748792334e-05,3.21206305303221e-05,1.66673098221573e-05,5.89670722411318e-05,9.79271391405694e-05,5.67733251406254e-06,1.69805034267929e-05,1.65341405922295e-05,5.03979605586836e-06,4.2959181105203e-07,1.31302676999186e-05,5.46647138628531e-06,4.61205791350924e-05,2.14905463538078e-06,1.14110346511772e-06,3.55302363456786e-05,6.94806941577703e-06,6.13058372171559e-06,2.56643591117017e-06,1.2563755122587e-05,7.13559966872802e-06,9.74602719871836e-06,6.2433999817288e-05,3.78103954784175e-05,1.32631707057561e-05,6.15193005974539e-07,2.01686788369954e-05,1.80628143426708e-05,4.60437144618471e-06,1.15843596811204e-06
"14",1.36308248819909e-05,4.92459702834482e-05,6.83009111209988e-05,2.45771041674346e-05,0.00061275429028475,5.29347487290266e-05,6.8165313420653e-06,5.40641626927304e-07,2.40026409231648e-05,3.24109996497545e-06,8.45100882003548e-06,1.46541091566696e-05,1.49103326901727e-05,8.01830842186926e-07,3.54763866859876e-05,2.26224969825481e-05,8.06089814376081e-07,7.49666080578675e-05,2.24450393601712e-05,1.08849089752338e-05,1.29763294614563e-06,0.000117477368650769,2.942680523094e-05,1.34814123956142e-06,5.05629990988721e-05,8.53566822364623e-05,3.82607118281021e-06,3.35026754980403e-07,9.3697633013684e-06,7.96461030027702e-06,3.89757182485466e-05,1.44344380523465e-06,2.2891900576297e-06,1.42198843586283e-05,1.33132226179727e-06,2.81386888907841e-06,6.71954344542632e-06,7.87038670400558e-06,9.76224095729454e-07,3.49216752774289e-05,3.27524408265995e-05,1.46492585234056e-05,1.59158393829087e-05,6.77203231693317e-07,1.06383952869678e-05,1.92774709771631e-05,5.58662138844318e-06,1.23750040737561e-07
